votereg,CC20_410,gender,educ
1,1,1,2
1,2,1,5
2,NA,1,6
1,2,1,6
1,4,1,6
1,NA,2,6
1,1,2,5
1,2,2,5
1,2,1,6
1,1,1,6
1,1,1,6
1,1,1,6
1,1,2,5
1,2,2,4
1,1,2,5
1,1,2,5
1,2,2,6
1,1,1,3
1,1,1,3
1,1,2,6
1,1,1,3
1,2,1,3
1,1,1,5
1,2,1,6
1,2,2,4
1,1,1,6
1,1,2,5
1,1,1,6
1,1,2,5
1,1,1,6
1,2,1,5
1,4,1,5
1,2,2,5
1,1,1,3
1,2,1,5
1,1,2,5
1,1,2,3
1,2,2,4
1,1,2,5
1,1,2,6
1,1,1,6
1,2,1,5
1,1,1,5
1,1,2,5
1,1,1,5
1,1,1,5
1,2,2,6
1,2,1,6
1,1,2,6
1,2,2,5
1,1,1,6
1,1,2,6
1,1,2,6
1,1,1,6
1,1,2,3
1,1,1,6
1,1,1,6
1,1,1,5
1,2,2,5
1,1,2,6
1,1,2,5
1,2,1,3
1,1,2,5
1,1,1,5
1,1,2,4
1,2,1,5
1,2,1,6
1,1,2,3
1,2,2,2
1,1,1,5
1,1,2,3
1,NA,2,6
2,NA,1,5
1,1,2,5
1,1,2,6
1,1,1,6
1,1,2,5
1,NA,2,3
1,2,2,4
1,1,1,6
2,NA,2,5
1,2,1,5
1,2,1,5
1,2,2,4
1,2,2,6
1,2,1,5
1,1,2,5
1,1,2,5
1,1,2,5
1,2,2,3
1,1,1,5
1,2,2,3
1,1,2,5
1,1,2,3
1,1,2,6
2,NA,2,2
1,2,1,2
1,2,1,5
1,1,1,6
1,2,2,6
1,NA,2,3
1,2,1,5
1,1,1,4
1,4,1,5
1,1,2,6
1,2,1,5
1,2,1,5
1,1,1,5
1,1,1,3
1,1,1,6
1,2,1,6
1,1,2,6
1,1,2,6
1,4,1,6
1,1,1,5
1,1,2,3
1,2,2,5
1,2,1,5
1,2,1,5
1,2,1,3
1,1,1,6
1,2,2,3
1,1,2,6
1,1,1,5
1,1,1,6
1,2,2,4
1,2,1,6
1,1,2,5
1,1,2,5
1,2,1,5
1,1,1,5
1,1,2,6
1,1,2,6
1,2,1,3
1,2,2,6
1,2,1,5
1,1,1,5
1,2,1,5
1,4,1,6
1,1,2,5
1,2,1,6
1,2,1,3
1,1,1,5
1,1,1,4
1,1,1,5
1,1,2,5
1,1,1,6
1,4,1,6
1,1,1,5
1,2,2,3
1,1,2,4
1,1,2,6
1,2,2,3
1,2,1,5
1,1,2,3
1,1,2,3
1,1,2,6
1,1,1,6
1,2,2,2
1,1,1,3
1,1,2,5
1,2,2,3
1,1,2,3
1,2,2,3
1,1,1,5
1,2,1,4
1,1,2,3
1,1,2,6
1,1,1,3
1,1,2,6
1,2,1,5
1,2,1,4
1,1,1,5
1,1,1,4
1,1,2,6
1,1,2,3
1,1,2,5
1,1,1,3
1,1,1,3
1,1,2,6
1,1,1,6
1,1,2,5
1,2,2,4
1,2,2,5
1,1,1,5
1,2,2,5
1,1,2,6
1,1,1,6
1,4,2,5
1,2,1,5
1,1,2,3
1,4,1,5
1,2,1,6
1,1,1,6
1,4,1,5
1,1,1,5
1,2,2,5
1,2,1,4
1,1,2,6
1,1,2,5
1,2,2,4
1,2,1,3
1,1,1,6
1,2,2,5
1,1,2,5
1,1,1,5
1,2,1,5
1,1,1,6
1,1,2,5
1,1,2,5
1,1,1,6
2,NA,2,5
1,1,1,6
1,1,1,5
1,1,2,5
1,2,1,3
1,1,2,5
1,1,1,5
1,1,2,5
1,1,1,3
2,2,2,3
1,NA,2,6
1,1,1,6
1,1,2,5
1,2,1,6
1,1,1,6
1,1,1,5
1,1,1,6
1,2,1,6
1,1,1,5
1,1,1,6
1,4,1,4
1,1,1,2
1,4,2,3
1,1,1,6
1,2,1,6
1,1,2,4
1,1,1,5
1,2,2,6
1,1,1,6
1,2,2,3
1,1,2,3
1,2,2,5
1,1,2,3
1,2,2,5
1,1,1,5
1,1,2,3
1,1,2,5
1,1,1,6
1,2,1,5
1,2,1,5
1,1,2,6
1,1,1,5
1,1,1,5
1,1,1,6
1,2,2,5
1,1,1,6
1,1,1,3
1,1,1,5
1,2,1,6
1,1,1,6
1,1,2,6
1,NA,1,6
1,2,1,5
1,1,2,3
1,1,2,6
1,2,1,5
1,1,2,5
1,1,2,5
1,2,1,6
1,2,1,4
1,NA,2,3
1,2,2,5
1,1,1,6
1,1,1,3
1,2,1,5
1,2,1,6
1,2,1,3
1,2,1,3
1,NA,2,5
1,1,2,3
1,1,1,5
1,1,1,3
1,2,2,4
1,2,2,4
1,1,1,6
1,2,1,6
1,1,1,5
1,1,2,5
1,1,2,3
2,NA,2,3
1,1,1,5
1,2,2,3
1,2,1,6
2,NA,2,5
1,4,2,5
1,1,1,6
1,2,1,4
1,2,2,5
1,4,1,5
2,NA,2,2
1,1,1,6
1,1,2,5
1,1,2,3
1,1,1,5
1,1,2,6
1,NA,1,5
2,NA,2,4
1,1,2,4
1,2,2,3
1,1,1,6
1,1,1,6
1,1,1,6
1,1,2,3
1,1,1,5
1,2,1,5
1,2,1,6
1,1,1,5
1,1,2,5
1,1,2,3
2,NA,2,4
1,4,1,5
1,1,2,6
1,1,2,5
1,NA,2,3
1,NA,1,6
1,1,1,4
1,NA,1,3
1,2,1,4
1,2,1,5
1,1,1,6
1,1,2,5
1,1,1,5
1,1,2,3
1,2,2,3
1,2,2,6
1,1,2,6
1,1,1,4
1,2,1,4
1,2,2,6
1,1,2,3
1,1,1,3
1,2,2,4
1,1,2,6
1,2,2,3
1,1,1,6
1,1,2,4
1,NA,2,5
1,2,2,5
1,1,1,5
1,1,2,5
1,1,1,3
1,1,1,5
1,1,1,5
1,1,1,5
1,2,1,3
1,1,2,5
1,NA,2,2
1,2,1,5
1,2,1,5
1,1,2,4
1,2,2,6
1,1,1,5
1,2,1,6
1,1,2,6
1,2,1,5
1,1,2,3
1,1,2,3
1,1,2,5
1,1,1,3
1,1,2,5
1,1,2,2
1,2,2,6
1,1,2,5
1,1,2,4
1,1,1,6
1,1,1,5
1,2,1,3
1,1,2,3
1,1,1,5
1,1,1,5
1,1,2,5
1,2,1,3
1,1,2,6
1,1,2,6
1,2,1,5
1,2,1,3
1,1,1,6
1,4,2,6
1,1,2,4
1,1,1,6
1,2,1,6
1,2,1,2
1,2,2,3
1,1,2,6
1,1,1,5
1,1,1,3
1,2,2,6
1,4,1,6
3,NA,2,2
1,2,2,5
1,2,1,4
2,NA,2,3
1,1,2,5
1,2,1,4
1,2,1,5
1,1,2,5
2,NA,1,5
1,2,2,5
1,1,2,4
1,1,2,6
1,2,2,4
1,1,1,6
1,2,2,2
1,1,1,5
1,1,2,2
1,1,1,3
1,1,2,3
1,1,2,6
1,2,2,3
1,1,2,3
1,1,2,6
1,2,2,3
1,NA,2,2
1,NA,1,5
1,2,2,5
1,NA,2,3
1,1,1,5
1,1,2,6
1,1,1,5
1,1,2,4
1,2,2,3
1,1,2,6
1,1,1,5
1,2,2,2
1,2,2,4
1,1,2,3
1,1,2,3
1,1,2,5
1,2,2,4
1,1,2,6
1,1,2,5
1,2,2,2
1,1,2,6
1,1,2,4
1,2,2,5
1,4,2,5
1,1,2,6
1,2,1,4
1,NA,2,3
1,2,2,2
1,2,2,2
1,2,2,2
1,1,2,5
1,2,2,4
1,1,2,5
1,1,2,6
1,1,1,3
1,1,1,5
1,2,2,6
1,1,2,5
1,1,2,2
1,2,2,2
1,2,1,5
1,2,2,2
1,2,2,3
1,2,2,5
1,1,2,4
1,1,1,5
1,2,1,5
1,2,1,3
1,1,2,3
1,1,2,3
1,2,1,6
1,2,1,5
3,NA,2,4
1,2,1,3
3,2,1,3
1,1,2,3
1,1,1,5
1,2,1,3
1,1,2,4
1,1,2,3
1,1,2,3
1,1,1,3
1,1,1,3
1,1,1,3
1,1,1,5
1,2,1,3
1,1,1,6
1,2,2,5
1,1,1,3
1,1,2,6
1,2,2,4
1,2,1,5
1,1,2,3
1,1,1,6
1,1,2,3
1,2,2,2
1,1,2,6
1,1,2,3
1,2,1,3
1,2,2,2
1,2,2,4
1,2,1,6
1,2,1,6
1,2,1,3
1,2,1,6
1,2,2,3
1,1,1,5
1,1,1,3
1,1,1,6
1,2,2,3
1,2,2,2
1,1,1,4
1,NA,2,4
1,1,1,6
1,1,1,6
1,2,1,3
1,1,2,4
1,2,1,3
1,2,2,6
1,1,2,4
2,NA,2,4
1,2,1,4
1,2,1,3
1,1,1,5
1,2,2,2
1,1,2,4
1,1,1,3
1,1,2,3
1,1,1,5
1,2,2,4
1,1,2,3
1,2,2,4
1,1,1,5
1,1,1,3
1,1,2,3
1,4,1,6
1,1,1,6
1,NA,2,3
1,1,1,5
1,2,1,4
1,2,1,4
1,1,1,6
1,1,1,3
1,1,1,6
1,2,2,5
1,1,1,5
1,1,1,6
1,1,1,2
1,NA,1,4
1,2,1,5
1,1,2,3
1,1,1,5
1,1,2,6
1,2,1,5
1,1,2,5
1,2,2,3
1,1,2,6
1,1,2,5
1,1,2,5
1,2,1,5
1,1,1,5
1,1,1,6
1,2,2,3
1,1,1,3
1,NA,1,5
1,2,2,2
1,1,1,5
1,2,2,2
1,4,1,5
1,2,1,3
1,NA,2,2
1,2,1,6
1,1,1,3
1,1,1,3
1,1,1,6
1,2,1,5
1,1,1,6
1,1,1,5
1,4,1,4
1,2,1,5
1,1,2,6
1,1,1,6
1,1,2,6
1,5,1,6
1,1,2,5
1,2,1,4
1,1,2,4
1,NA,2,4
1,1,2,3
1,1,2,4
1,NA,1,6
1,1,2,6
1,1,1,5
1,2,1,6
1,2,1,6
1,2,1,5
1,1,1,3
1,1,1,5
2,2,1,6
1,1,2,6
1,1,2,3
1,1,1,6
1,1,2,6
1,2,1,5
1,2,1,3
1,1,1,6
1,2,1,6
1,2,1,5
1,1,2,5
1,1,2,5
1,2,1,3
1,1,1,5
1,1,2,4
1,1,1,3
1,1,1,6
1,1,2,6
1,1,1,3
1,1,2,2
1,1,2,6
1,2,2,3
1,2,1,3
1,1,2,4
1,4,1,5
1,2,1,6
1,1,1,4
1,1,2,4
1,1,2,5
1,2,1,3
1,2,1,3
1,2,1,2
1,1,1,5
1,1,1,5
1,1,2,3
1,2,1,3
1,2,2,5
1,2,1,5
1,1,2,6
2,2,2,4
1,1,1,5
1,1,2,1
1,2,1,3
1,1,1,4
1,2,2,3
1,1,1,6
1,1,1,6
1,1,2,5
1,1,1,5
1,1,2,3
1,2,2,5
2,NA,2,2
1,1,2,4
1,2,2,2
1,2,2,4
1,4,2,6
1,1,2,2
1,1,2,3
1,1,1,6
1,2,2,3
1,1,1,3
1,2,1,2
1,1,2,6
1,1,1,6
1,2,2,5
1,2,1,5
1,1,2,5
1,1,1,5
1,1,2,6
1,1,2,3
1,4,1,3
1,2,1,5
1,1,1,5
1,1,2,4
1,1,1,5
1,2,1,5
1,2,1,2
1,2,2,6
1,2,2,3
1,1,1,6
1,2,1,4
1,1,1,5
2,NA,2,3
1,2,2,2
1,1,1,3
1,1,1,5
1,4,1,5
1,2,1,4
1,1,1,5
1,1,2,5
1,2,1,5
1,1,2,5
1,2,2,3
1,2,1,5
1,2,1,4
1,1,1,5
1,2,1,3
1,1,1,4
1,1,2,3
1,2,1,3
1,2,1,5
1,2,1,4
1,2,2,6
1,1,1,5
1,2,2,2
1,1,1,5
1,2,2,5
1,1,2,6
1,1,1,2
1,1,2,2
1,2,1,2
1,2,1,5
1,1,2,5
1,1,1,6
1,2,2,3
1,1,1,5
1,1,1,6
1,2,1,3
1,1,1,6
1,1,2,3
1,1,1,5
1,1,1,3
1,2,1,5
1,2,1,5
1,1,1,5
2,NA,2,5
1,2,2,3
1,2,2,4
1,2,1,5
1,2,2,4
1,2,1,3
1,NA,2,3
1,1,2,4
1,1,1,3
1,1,2,5
1,1,1,6
1,1,1,5
1,1,1,4
1,2,1,5
1,2,1,5
1,1,1,3
1,1,1,6
1,1,2,6
1,2,1,5
1,1,2,6
1,1,1,6
1,1,1,6
1,2,2,5
1,1,1,5
1,1,2,2
1,1,2,6
1,2,1,4
1,1,2,3
1,1,1,5
1,1,2,5
1,1,1,6
1,1,2,6
1,1,2,3
1,4,1,5
1,2,1,6
1,2,1,4
1,1,1,6
1,1,1,3
1,1,1,6
1,1,2,6
1,1,1,2
1,1,1,5
1,2,2,3
1,1,2,3
1,2,2,2
1,1,2,6
1,7,2,5
1,2,1,2
1,2,1,3
1,1,1,5
1,1,2,6
1,2,2,3
1,2,2,2
1,1,1,5
1,1,1,5
1,2,2,5
1,1,1,5
1,1,2,6
1,1,1,6
1,2,1,5
1,1,1,6
1,1,2,3
1,2,1,5
1,2,1,6
1,2,1,3
1,2,1,6
1,NA,1,6
1,2,1,4
1,1,1,5
1,2,1,6
1,2,1,6
1,1,1,3
1,2,2,5
1,2,2,6
1,1,2,5
1,1,1,3
1,1,1,4
1,2,1,3
1,2,2,6
1,1,1,2
1,1,1,5
1,2,1,5
1,1,1,5
1,1,2,5
1,1,1,6
1,1,2,6
1,2,2,6
1,1,2,6
1,2,2,2
1,1,1,6
1,2,1,4
1,1,2,6
1,1,1,6
1,1,2,6
1,2,1,5
1,2,2,3
1,2,2,6
1,2,2,3
1,1,2,6
1,2,2,2
1,2,2,5
1,2,1,5
1,1,1,6
1,2,1,3
2,NA,2,2
1,2,1,5
1,2,1,5
1,1,1,6
1,1,2,6
1,1,2,4
1,2,2,3
1,2,1,5
1,1,2,6
1,2,1,4
1,2,1,5
1,1,2,6
1,2,2,6
1,1,2,6
1,4,1,3
1,2,2,2
1,1,1,6
1,1,2,6
1,NA,2,3
1,2,1,3
1,2,1,2
1,2,1,5
1,1,1,4
1,1,2,3
1,2,1,5
1,1,1,6
1,1,1,6
1,2,2,5
1,1,2,3
1,1,1,6
1,1,1,6
1,2,1,4
1,2,2,2
1,1,2,5
1,2,2,3
1,1,2,5
1,1,2,6
1,2,1,6
1,2,2,6
1,1,1,6
1,1,2,6
1,NA,1,3
1,2,1,6
1,1,2,6
2,NA,2,3
2,NA,2,3
1,1,2,4
1,1,1,6
1,2,2,3
1,1,2,4
1,1,1,5
1,1,1,5
1,1,2,4
1,2,1,3
1,4,2,3
1,2,1,3
2,NA,2,2
1,1,2,6
1,2,2,2
1,1,2,5
1,2,2,4
1,1,1,3
1,2,2,3
1,2,1,5
1,2,2,5
1,1,2,3
2,NA,2,2
1,2,1,3
1,2,2,4
1,2,1,3
1,1,2,4
1,2,1,3
1,1,2,6
1,1,2,6
1,2,1,6
1,2,1,3
1,1,1,6
1,1,2,3
1,1,2,3
1,1,2,3
1,1,2,3
1,NA,1,2
1,2,1,3
1,1,2,3
1,2,1,5
1,1,1,5
1,2,1,4
1,1,1,5
1,2,1,6
1,2,1,5
1,2,2,5
1,2,2,6
1,2,2,2
1,1,1,3
2,NA,2,2
1,2,1,5
1,2,1,1
1,1,2,5
1,1,1,5
1,1,2,5
1,2,1,5
2,NA,1,2
2,NA,2,5
1,1,2,5
1,2,1,5
1,2,1,4
1,1,1,6
1,2,1,6
1,2,1,5
1,1,2,5
1,1,1,3
1,1,1,6
1,1,2,3
1,1,2,5
1,2,1,3
1,1,1,2
1,1,2,5
1,1,1,3
1,1,1,5
1,1,1,6
1,2,1,3
1,2,1,5
1,1,2,5
1,1,1,6
1,4,1,4
1,1,1,6
1,2,1,6
1,2,2,3
1,1,2,5
1,1,1,3
1,1,2,3
1,2,2,5
1,2,1,3
1,1,2,6
1,NA,1,5
1,1,2,3
1,1,2,6
1,2,2,4
1,2,1,2
1,1,2,2
1,1,2,3
1,2,1,4
1,1,2,6
1,1,1,5
1,1,1,5
1,1,2,2
1,1,1,4
1,2,2,4
1,1,2,3
1,1,1,6
1,1,2,3
1,1,2,6
1,1,1,6
1,2,2,5
1,1,1,3
1,1,2,6
1,2,2,4
1,1,1,3
1,1,1,5
1,1,1,4
1,2,2,5
1,2,1,5
1,2,2,5
1,2,2,4
1,2,1,5
1,1,2,3
1,NA,2,3
1,2,2,4
1,2,2,4
1,1,2,6
1,1,2,5
1,2,2,2
1,1,2,4
1,1,1,5
1,2,2,3
1,2,2,4
1,2,1,2
1,1,1,3
1,2,2,4
1,1,2,6
1,1,2,6
1,2,2,3
1,2,2,3
1,1,2,6
1,1,1,5
1,1,2,3
1,4,1,5
1,2,1,3
1,2,1,5
1,1,1,4
1,1,2,3
1,1,1,5
1,1,2,5
1,2,1,3
1,1,2,3
1,1,1,4
1,2,1,4
1,NA,1,3
1,2,1,3
1,1,1,3
1,2,2,4
1,1,1,1
1,NA,2,3
1,1,2,6
1,2,2,3
1,2,2,3
1,1,1,5
1,2,1,6
1,1,2,3
1,1,1,4
1,1,1,3
1,NA,2,4
1,1,2,2
1,2,1,4
2,NA,2,2
1,1,1,5
1,NA,2,4
1,2,2,3
1,NA,1,5
1,2,2,4
1,1,2,6
1,2,2,3
1,1,2,5
1,1,1,3
1,1,2,3
1,2,2,2
1,1,2,4
1,1,1,5
1,2,2,5
1,2,1,5
1,1,1,5
1,1,2,5
1,2,2,3
1,2,1,5
1,1,1,6
1,1,1,5
1,2,2,3
1,1,2,3
1,2,1,5
1,2,2,3
1,2,2,3
1,1,2,4
1,1,2,6
1,2,1,5
1,2,2,6
1,2,2,3
1,2,1,6
1,1,1,4
1,2,2,3
1,NA,2,3
1,1,1,6
1,1,1,3
1,1,2,4
1,1,2,2
1,1,2,5
1,1,2,3
1,2,1,5
1,1,2,3
1,2,2,4
1,2,1,3
1,1,1,3
1,2,2,5
1,2,2,4
1,1,1,5
1,2,2,3
1,1,2,5
1,1,2,6
1,NA,2,5
1,1,2,4
1,2,2,5
1,2,2,3
1,1,2,5
1,2,1,5
3,NA,2,3
2,NA,2,3
1,1,2,5
1,1,2,3
1,1,1,3
1,1,2,6
1,1,2,6
1,2,2,4
1,2,2,4
1,1,1,5
1,1,2,2
1,2,2,5
1,2,1,5
1,2,1,5
1,1,2,5
1,2,2,5
1,1,1,3
1,1,2,6
1,2,2,6
1,2,2,5
1,1,2,2
1,1,2,5
1,1,2,6
1,1,2,6
1,1,2,6
3,2,2,3
1,1,2,4
1,1,2,1
1,2,2,3
1,1,2,3
1,2,2,3
1,1,2,5
1,1,1,6
1,2,2,6
1,1,2,5
1,1,2,5
1,1,2,4
1,1,1,3
1,1,1,6
1,2,1,3
1,2,2,6
1,2,2,6
1,4,2,3
1,2,2,3
1,1,2,4
1,1,1,5
1,2,2,5
1,1,1,3
1,2,2,4
1,1,2,5
1,1,2,6
1,1,2,5
1,1,2,5
1,2,2,5
1,2,1,4
1,1,2,6
1,2,1,3
1,1,2,6
1,1,2,5
1,NA,2,4
1,2,2,4
1,1,2,3
1,2,2,3
1,1,1,5
1,1,1,5
1,2,1,3
1,2,2,2
1,NA,2,5
1,1,1,3
